Category,Subcategory,Item Number,Item Description,Schedule Fee,,,,,,,,
Other / Therapeutic and Diagnostic Services,Neurolysis,CV405,"TRIGEMINAL NERVE: second and third division branches at foramen ovale, destruction by a neurolytic agent",1614.95,,,Other / Therapeutic and Diagnostic ServicesNeurolysis,,,,,
Other / Therapeutic and Diagnostic Services,Neurolysis,CV415,"CRANIAL NERVE OTHER THAN TRIGEMINAL, destruction by a neurolytic agent, not being a service associated with the injection of botulinum toxin (Anaesthesia)",284.45,,,Other / Therapeutic and Diagnostic ServicesNeurolysis,,,,,
Other / Therapeutic and Diagnostic Services,Neurolysis,CV420,"NERVE BRANCH, not covered by any other item in this group, destruction by a neurolytic agent, not being a service associated with the injection of botulinum toxin (Anaesthesia)",142.25,,,Other / Therapeutic and Diagnostic ServicesNeurolysis,,,,,
Other / Therapeutic and Diagnostic Services,Neurolysis,CV430,"COELIAC PLEXUS OR SPLANCHNIC NERVES, destruction by a neurolytic agent",200.55,,,Other / Therapeutic and Diagnostic ServicesNeurolysis,,,,,
Other / Therapeutic and Diagnostic Services,Neurolysis,CV440,"LUMBAR SYMPATHETIC CHAIN, destruction by a neurolytic agent",171.5,,,Other / Therapeutic and Diagnostic ServicesNeurolysis,,,,,
Other / Therapeutic and Diagnostic Services,Neurolysis,CV450,"CERVICAL OR THORACIC SYMPATHETIC CHAIN, destruction by a neurolytic agent",200.55,,,Other / Therapeutic and Diagnostic ServicesNeurolysis,,,,,
Other / Therapeutic and Diagnostic Services,Hyperbaric Medicine,CV700,HYPERBARIC OXYGEN TREATMENT when the specialist is inside the chamber,186.15,,,Other / Therapeutic and Diagnostic ServicesHyperbaric Medicine,,,,,
Other / Therapeutic and Diagnostic Services,Hyperbaric Medicine,CV710,HYPERBARIC OXYGEN TREATMENT when the specialist is outside the chamber,294.85,,,Other / Therapeutic and Diagnostic ServicesHyperbaric Medicine,,,,,
Other / Therapeutic and Diagnostic Services,Hyperbaric Medicine,CV710,HYPERBARIC OXYGEN TREATMENT when the specialist is outside the chamber,131.8,,,Other / Therapeutic and Diagnostic ServicesHyperbaric Medicine,,,,,
Other / Therapeutic and Diagnostic Services,Hyperbaric medicine,CV710,HYPERBARIC OXYGEN TREATMENT when the specialist is outside the chamber,290.25,,,Other / Therapeutic and Diagnostic ServicesHyperbaric medicine,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV052,INTRAVENOUS REGIONAL ANAESTHESIA OF LIMB BY RETROGRADE PERFUSION,100.95,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV200,"INJECTION OF AN ANAESTHETIC AGENT, in the trigeminal nerve, primary division of",142.25,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV201,"trigeminal nerve, peripheral branch of",71.25,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV202,facial nerve,42.9,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV204,retrobulbar or peribulbar,106.6,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV205,greater occipital nerve,42.9,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV208,vagus nerve,114.9,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV210,phrenic nerve,100.95,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV212,spinal accessory nerve,71.25,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV213,cervical plexus,114.9,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV215,brachial plexus,114.9,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV218,suprascapular nerve,71.25,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV220,"intercostal nerve, single",71.25,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV221,"intercostal nerves, multiple",100.95,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV225,"ilioinguinal, iliohypogastric, or genitofemoral nerves, one or more of, or transversus abdominis plane (TAP) block",71.25,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV230,pudendal nerve,114.9,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV233,"ulnar, radial or median nerve of main trunk, one or more of, not being associated with a brachial plexus block",71.25,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV237,obturator nerve,100.95,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV238,femoral nerve,100.95,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV239,"saphenous, sural, popliteal or posterior tibial nerve of main trunk, one or more of",71.25,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV241,"paravertebral nerves, multiple levels",142.25,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV245,sciatic nerve,100.95,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Echocardiography,CV740,"INTRAOPERATIVE TWO-DIMENSIONAL REAL-TIME TRANSOESOPHAGEAL ECHOCARDIOGRAPHY incorporating Doppler techniques with colour flow mapping and recording onto video tape or digital medium, performed during cardiac surgery incorporating sequential assessment of cardiac function before and after the surgical procedure*",#N/A,,,Other / Therapeutic and Diagnostic ServicesEchocardiography,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV305,sphenopalatine ganglion,142.25,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV308,"carotid sinus, as an independent percutaneous procedure",114.9,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV310,stellate ganglion (cervical sympathetic block),168.15,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV320,lumbar or thoracic nerves (paravertebral sympathetic block),168.15,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV330,coeliac plexus or splanchnic nerves,168.15,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Perfusion/Bypass,CV055,PERFUSION OF LIMB OR ORGAN,270.6,,,Other / Therapeutic and Diagnostic ServicesPerfusion/Bypass,,,,,
Other / Therapeutic and Diagnostic Services,Perfusion/Bypass,CV060,MEDICAL MANAGEMENT OF CARDIOPULMONARY BYPASS PERFUSION using heart/lung machine or equivalent*,676.5,,,Other / Therapeutic and Diagnostic ServicesPerfusion/Bypass,,,,,
Other / Therapeutic and Diagnostic Services,Perfusion/Bypass,CV065,"INDUCED CONTROLLED HYPOTHERMIA, total body",112.75,,,Other / Therapeutic and Diagnostic ServicesPerfusion/Bypass,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV209,glossopharyngeal nerve,#N/A,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Perfusion/Bypass,CV075,"DEEP HYPOTHERMIA to a core temperature of less than 22 degrees in association with circulatory arrest, including management of retrograde cerebral perfusion if performed",338.25,,,Other / Therapeutic and Diagnostic ServicesPerfusion/Bypass,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV235,paracervical (uterine) nerve,#N/A,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Invasive Monitoring,CV014,"MONITORING THAT: (a) is of one of the following types of blood pressure: (i) central venous blood pressure; (ii) pulmonary arterial blood pressure; (iii) systemic arterial blood pressure; (iv) cardiac intracavity blood pressure; and (b) is conducted by indwelling catheter; and (c) is performed in association with the administration of anaesthesia for a procedure and not as a service to which item 13876 applies; and (d) is performed, on a day, on a patient who: (i) is categorised as having a high risk of complications; or (ii) during the procedure develops either complications or a high risk of complications; and (e) has not previously been performed in those circumstances on the day on the patient for that type of blood pressure",67.65,,,Other / Therapeutic and Diagnostic ServicesInvasive Monitoring,,,,,
Other / Therapeutic and Diagnostic Services,Invasive Monitoring,CV015,"RIGHT HEART BALLOON CATHETER, insertion of, including pulmonary wedge pressure and cardiac output measurement, when performed in association with the administration of anaesthesia",135.3,,,Other / Therapeutic and Diagnostic ServicesInvasive Monitoring,,,,,
Other / Therapeutic and Diagnostic Services,Invasive Monitoring,CV026,"ARTERIAL PUNCTURE, withdrawal of blood for diagnosis",26.3,,,Other / Therapeutic and Diagnostic ServicesInvasive Monitoring,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV240,"paravertebral, cervical, thoracic, lumbar, sacral or coccygeal nerves, single vertebral level",#N/A,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Nerve Blocks,CV250,other peripheral nerve or branch,#N/A,,,Other / Therapeutic and Diagnostic ServicesNerve Blocks,,,,,
Other / Therapeutic and Diagnostic Services,Perfusion/Bypass,CV070,"CARDIOPLAEGIA, BLOOD OR CRYSTALLOID, administration by any route",#N/A,,,Other / Therapeutic and Diagnostic ServicesPerfusion/Bypass,,,,,
Other / Therapeutic and Diagnostic Services,Vascular Cannulation,CV020,"CENTRAL VEIN CATHETERISATION, percutaneous, performed in association with the administration of anaesthesia",90.2,,,Other / Therapeutic and Diagnostic ServicesVascular Cannulation,,,,,
Other / Therapeutic and Diagnostic Services,Perfusion/Bypass,CV076,STANDBY MEDICAL MANAGEMENT OF CARDIOPULMONARY BYPASS PERFUSION using heart/lung machine or equivalent,#N/A,,,Other / Therapeutic and Diagnostic ServicesPerfusion/Bypass,,,,,
Other / Therapeutic and Diagnostic Services,Vascular Cannulation,CV025,INTRA-ARTERIAL CANNULATION when performed in association with the management of anaesthesia for a procedure for a patient who: (a) is categorised as having a high risk of complications; or (b) develops a high risk of complications during the procedure*,90.2,,,Other / Therapeutic and Diagnostic ServicesVascular Cannulation,,,,,
Other / Therapeutic and Diagnostic Services,Vascular Cannulation,CV010,"VENOUS CANNULATION and commencement of intravenous infusion, under three years of age, not associated with anaesthesia",#N/A,,,Other / Therapeutic and Diagnostic ServicesVascular Cannulation,,,,,
Other / Therapeutic and Diagnostic Services,Vascular Cannulation,CV029,"CATHETERISATION, UMBILICAL ARTERY, newborn, for diagnosis or therapy",96.15,,,Other / Therapeutic and Diagnostic ServicesVascular Cannulation,,,,,
Other / Therapeutic and Diagnostic Services,Vascular Cannulation,CV035,"PLACEMENT OF A PERIPHERALLY INSERTED CENTRAL CATHETER (PICC) for the purpose of long-term vascular access, including up to 1 hour of procedure time*",129.5,,,Other / Therapeutic and Diagnostic ServicesVascular Cannulation,,,,,
Other / Therapeutic and Diagnostic Services,Vascular Cannulation,CV036,"PLACEMENT OF A PERIPHERALLY INSERTED CENTRAL CATHETER (PICC) for the purpose of long-term vascular access, where the procedure time exceeds 1 hour DERIVED FEE being 8 units for the first hour (as for Item CV035) plus 1 unit for each additional 15 minutes or part thereof*",90.2,,,Other / Therapeutic and Diagnostic ServicesVascular Cannulation,,,,,
Other / Therapeutic and Diagnostic Services,Vascular Cannulation,CV011,"VENOUS CANNULATION, cutdown",#N/A,,,Other / Therapeutic and Diagnostic ServicesVascular Cannulation,,,,,
Other / Therapeutic and Diagnostic Services,Vascular Cannulation,CV013,VENOUS CANNULATION and commencement of intravenous infusion not associated with anaesthesia,#N/A,,,Other / Therapeutic and Diagnostic ServicesVascular Cannulation,,,,,
Other / Therapeutic and Diagnostic Services,Airway Management,CV007,"ENDOTRACHEAL INTUBATION with flexible fibreoptic scope, associated with difficult airway, when performed in association with the administration of anaesthesia",90.2,,,Other / Therapeutic and Diagnostic ServicesAirway Management,,,,,
Other / Therapeutic and Diagnostic Services,Airway Management,CV008,"DOUBLE LUMEN ENDOBRONCHIAL TUBE or BRONCHIAL BLOCKER, insertion of, when performed in association with the administration of anaesthesia",90.2,,,Other / Therapeutic and Diagnostic ServicesAirway Management,,,,,
Other / Therapeutic and Diagnostic Services,Transfusion,CV001,"COLLECTION OF BLOOD FOR AUTOLOGOUS TRANSFUSION or when homologous blood is required for immediate transfusion in an emergency situation, or intra-operative operation of cell salvage equipment, when performed in association with the administration of anaesthesia, with a transfusion to the patient that is clinically significant (minimum equivalent of 1 unit, age and weight adjusted)",#N/A,,,Other / Therapeutic and Diagnostic ServicesTransfusion,,,,,
Other / Therapeutic and Diagnostic Services,Transfusion,CV002,"ADMINISTRATION OF HOMOLOGOUS BLOOD or bone marrow already collected, when performed in association with the administration of anaesthesia",90.2,,,Other / Therapeutic and Diagnostic ServicesTransfusion,,,,,
Other / Therapeutic and Diagnostic Services,Transfusion,CV003,VENOUS CANNULATION and BLOOD TRANSFUSION (or blood products) not associated with anaesthesia,94.9,,,Other / Therapeutic and Diagnostic ServicesTransfusion,,,,,
Other / Therapeutic and Diagnostic Services,Vascular Cannulation,CV022,CENTRAL VEIN CATHETERISATION by cutdown,#N/A,,,Other / Therapeutic and Diagnostic ServicesVascular Cannulation,,,,,
Other / Therapeutic and Diagnostic Services,Ultrasound,CV800,The use of two-dimensional ULTRASOUND GUIDANCE to assist percutaneous major vascular access (including arterial access and the insertion of peripherally inserted central catheter) (Note: this item may be used in addition to the relevant item for vascular catheterisation)*,#N/A,,,Other / Therapeutic and Diagnostic ServicesUltrasound,,,,,
Other / Therapeutic and Diagnostic Services,Ultrasound,CV805,The use of two-dimensional ULTRASOUND GUIDANCE to assist percutaneous neural blockade (Note: this item may be used in addition to the relevant nerve block item)*,#N/A,,,Other / Therapeutic and Diagnostic ServicesUltrasound,,,,,
Other / Therapeutic and Diagnostic Services,Ultrasound,,"ULTRASONIC CROSS-SECTIONAL ECHOGRAPHY in conjunction with a surgical procedure, using interventional techniques. Items from Group T.10 cannot be claimed in association with Item 55054 Not necessary in ASA RVG—covered by items CV800 and CV805",122.4,,,Other / Therapeutic and Diagnostic ServicesUltrasound,,,,,
Other / Therapeutic and Diagnostic Services,Vascular Cannulation,CV027,ARTERIAL CANNULATION by cutdown,#N/A,,,Other / Therapeutic and Diagnostic ServicesVascular Cannulation,,,,,
Other / Therapeutic and Diagnostic Services,Miscellaneous,CV005,"ENDOTRACHEAL INTUBATION, emergency procedure, when the patient's airway is unsecured and at high risk of occlusion (e.g. epiglottitis or haematoma post thyroidectomy) not associated with surgery. If associated with surgery refer to item CB305",#N/A,,,Other / Therapeutic and Diagnostic ServicesMiscellaneous,,,,,
Other / Therapeutic and Diagnostic Services,Miscellaneous,CV100,"SUBARACHNOID PUNCTURE, lumbar, diagnostic",85.75,,,Other / Therapeutic and Diagnostic ServicesMiscellaneous,,,,,
Other / Therapeutic and Diagnostic Services,Miscellaneous,CV105,INSERTION OF SUBARACHNOID DRAIN,181.6,,,Other / Therapeutic and Diagnostic ServicesMiscellaneous,,,,,
Other / Therapeutic and Diagnostic Services,Miscellaneous,CV128,"INTERPLEURAL BLOCK, initial injection or commencement of infusion of a therapeutic substance",71.25,,,Other / Therapeutic and Diagnostic ServicesMiscellaneous,,,,,
Other / Therapeutic and Diagnostic Services,Miscellaneous,CV500,"CARDIOVERSION, elective, electrical conversion of arrhythmia, external",110.35,,,Other / Therapeutic and Diagnostic ServicesMiscellaneous,,,,,
Other / Therapeutic and Diagnostic Services,Miscellaneous,CV981,"ANAESTHETIC AGENT ALLERGY TESTING, using skin sensitivity methods in a patient with a history of prior anaphylactic or anaphylactoid reaction or cardiovascular collapse in association with the administration of anaesthesia agents",90.2,,,Other / Therapeutic and Diagnostic ServicesMiscellaneous,,,,,
Other / Therapeutic and Diagnostic Services,Airway Management,CV600,ENDOTRACHEAL EXTUBATION of a patient with a known difficult airway or at risk of airway compromise. Not in association with surgery.,#N/A,,,Other / Therapeutic and Diagnostic ServicesAirway Management,,,,,
Other / Therapeutic and Diagnostic Services,Miscellaneous,CV053,"INSERTION OF LUMBAR CEREBROSPINAL FLUID DRAIN, when performed in association with the administration of anaesthesia",135.3,,,Other / Therapeutic and Diagnostic ServicesMiscellaneous,,,,,
Other / Therapeutic and Diagnostic Services,Transfusion,CV000,"Transfusion of blood by an anaesthetist, including collection from donor, when used for intra-operative normovolaemic haemodilution, where the service is provided on the same occasion as the administration of anaesthesia by the same anaesthetist",135.3,,,Other / Therapeutic and Diagnostic ServicesTransfusion,,,,,
Other / Therapeutic and Diagnostic Services,Transfusion,,,135.3,,,Other / Therapeutic and Diagnostic ServicesTransfusion,,,,,
Other / Therapeutic and Diagnostic Services,Miscellaneous,,,135.3,,,Other / Therapeutic and Diagnostic ServicesMiscellaneous,,,,,
Other / Therapeutic and Diagnostic Services,Echocardiography,,,405.9,,,Other / Therapeutic and Diagnostic ServicesEchocardiography,,,,,
Other / Therapeutic and Diagnostic Services,Miscellaneous,CV006,"ENDOTRACHEAL INTUBATION, not associated with anaesthesia, when subsequent management is not in an intensive care unit",#N/A,,,Other / Therapeutic and Diagnostic ServicesMiscellaneous,,,,,
Other / Therapeutic and Diagnostic Services,Ultrasound,CV004,"ADMINISTRATION OF MASSIVE BLOOD TRANSFUSION in association with the administration of anaesthesia (""massive"" is defined as the replacement of at least one whole blood volume of the patient within a 24 hour period)",#N/A,,,Other / Therapeutic and Diagnostic ServicesUltrasound,,,,,
Other / Therapeutic and Diagnostic Services,Miscellaneous,CV009,"MONITORING DEPTH OF ANAESTHESIA, incorporating continuous measurement of the electroencephalogram during anaesthesia for the diagnosis of awareness, in situations with a higher baseline risk of awareness*",#N/A,,,Other / Therapeutic and Diagnostic ServicesMiscellaneous,,,,,
Other / Therapeutic and Diagnostic Services,Miscellaneous,CV032,INTRA-ARTERIAL INFUSION or retrograde intravenous perfusion of a sympatholytic agent,#N/A,,,Other / Therapeutic and Diagnostic ServicesMiscellaneous,,,,,
Other / Therapeutic and Diagnostic Services,Vascular Cannulation,CV028,Intra-arterial pressure monitoring,67.65,,,Other / Therapeutic and Diagnostic ServicesVascular Cannulation,,,,,
Other / Therapeutic and Diagnostic Services,Invasive Monitoring,CV014,"MONITORING THAT: (a) is of one of the following types of blood pressure: (i) central venous blood pressure; (ii) pulmonary arterial blood pressure; (iii) systemic arterial blood pressure; (iv) cardiac intracavity blood pressure; and (b) is conducted by indwelling catheter; and (c) is performed in association with the administration of anaesthesia for a procedure and not as a service to which item 13876 applies; and (d) is performed, on a day, on a patient who: (i) is categorised as having a high risk of complications; or (ii) during the procedure develops either complications or a high risk of complications; and (e) has not previously been performed in those circumstances on the day on the patient for that type of blood pressure",67.65,,,Other / Therapeutic and Diagnostic ServicesInvasive Monitoring,,,,,
Other / Unlisted Anaesthetic Procedures,,CS990,ANAESTHESIA when no procedure ensues*,67.65,,,Other / Unlisted Anaesthetic Procedures,,,,,
Other / Unlisted Anaesthetic Procedures,,CU999,"UNLISTED ANAESTHESIA PROCEDURE(S). The ASA recognises that in determining the number of units applicable, the anaesthetist shall have regard to equivalent procedures",#N/A,,,Other / Unlisted Anaesthetic Procedures,,,,,
Other / Unlisted Anaesthetic Procedures,,,INITIATION OF MANAGEMENT OF ANAESTHESIA performed on a person under the age of ten years in connection with a procedure covered by an item which has not been identified as attracting an anaesthetic (Not necessary in ASA RVG—covered by items CU999 and CV999),90.2,,,Other / Unlisted Anaesthetic Procedures,,,,,
Other / Unlisted Anaesthetic Procedures,,,"INITIATION OF MANAGEMENT OF ANAESTHESIA in connection with a procedure covered by an item which has not been identified as attracting an anaesthetic rebate, not being a service to which items 21992 or 21965 apply, where it can be demonstrated that there is a clinical need for anaesthesia (Not necessary in ASA RVG—covered by items CU999 and CV999)",90.2,,,Other / Unlisted Anaesthetic Procedures,,,,,
Pain / Pain Medicine Case Conferences,,AF070,"Attendance by a consultant physician or specialist practising in the specialty of pain medicine, as a member of a case conference team, TO ORGANISE AND COORDINATE A COMMUNITY CASE CONFERENCE, with a multidisciplinary team of at least three other formal care providers of different disciplines - where the conference time is at least 15 minutes, but less than 30 minutes",160.8,,,Pain / Pain Medicine Case Conferences,,,,,
Pain / Pain Medicine Case Conferences,,AF080,"- where the conference time is at least 30 minutes, but less than 45 minutes",241.35,,,Pain / Pain Medicine Case Conferences,,,,,
Pain / Pain Medicine Case Conferences,,AF090,- where the conference time is at least 45 minutes,321.55,,,Pain / Pain Medicine Case Conferences,,,,,
Pain / Pain Medicine Case Conferences,,AF100,"Attendance by a consultant physician or specialist practising in the specialty of pain medicine, as a member of a case conference team, TO PARTICIPATE IN A COMMUNITY CASE CONFERENCE (other than to organise and to coordinate the conference) with a multidisciplinary team of at least two other formal care providers of different disciplines - where the conference time is at least 15 minutes, but less than 30 minutes",115.5,,,Pain / Pain Medicine Case Conferences,,,,,
Pain / Pain Medicine Case Conferences,,AF110,"- where the conference time is at least 30 minutes, but less than 45 minutes",184.25,,,Pain / Pain Medicine Case Conferences,,,,,
Pain / Pain Medicine Case Conferences,,AF120,- where the conference time is at least 45 minutes,252.95,,,Pain / Pain Medicine Case Conferences,,,,,
Pain / Pain Medicine Case Conferences,,AF130,"Attendance by a consultant physician or specialist practising in the speciality of pain medicine, as a member of a case conference team, TO ORGANISE AND COORDINATE A DISCHARGE CASE CONFERENCE with a multidisciplinary team of at least three other formal care providers of different disciplines - where the conference time is at least 15 minutes, but less than 30 minutes",160.8,,,Pain / Pain Medicine Case Conferences,,,,,
Pain / Pain Medicine Case Conferences,,AF140,"- where the conference time is at least 30 minutes, but less than 45 minutes",241.35,,,Pain / Pain Medicine Case Conferences,,,,,
Pain / Pain Medicine Case Conferences,,AF150,- where the conference time is at least 45 minutes,321.55,,,Pain / Pain Medicine Case Conferences,,,,,
Pain / Pain Medicine Case Conferences,,AF160,"Attendance by a consultant physician or specialist practising in the speciality of pain medicine, as a member of a case conference team, TO PARTICIPATE IN A DISCHARGE CASE CONFERENCE with a multidisciplinary team of at least two other formal care providers of different disciplines - where the conference time is at least 15 minutes, but less than 30 minutes",115.5,,,Pain / Pain Medicine Case Conferences,,,,,
Pain / Pain Medicine Case Conferences,,AF170,"- where the conference time is at least 30 minutes, but less than 45 minutes",184.25,,,Pain / Pain Medicine Case Conferences,,,,,
Pain / Pain Medicine Case Conferences,,AF180,- where the conference time is at least 45 minutes,252.95,,,Pain / Pain Medicine Case Conferences,,,,,
Pain / Pain Medicine Consultations,,AF010,"PROFESSIONAL ATTENDANCE at consulting rooms or hospital by a consultant physician or specialist practising in the specialty of pain medicine, where the patient was referred to him or her by a medical practitioner - INITIAL attendance in a single course of treatment",174.5,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,,Initial professional attendance of 10 minutes or less in duration on a patient by a specialist or consultant physician practicing in the speciaist’s or consultant physician’s specialty of pain medicine if: (a) the attendance is by video conference (b) the patient is not an admitted patient (c) the patient: (i) is located both: (A) within a telehealth eligible area (B) at the time of attendance – at least 15kms by road from the specialist or physician; or (ii) is a care recipient in a residential care service; or (iii) is a patient of (A) an Aboriginal Medical Service; or (B) an Aboriginal Community Controlled Health Service for which a direction made under subsection 19(2) of the Act applies; and (d) no other initial consultation has taken place for a single course of treatment,#N/A,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,AF020,each attendance subsequent to the first in a single course of treatment,87.3,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,,each minor attendance subsequent to the first in a single course of treatment,49.75,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,AF040,"PROFESSIONAL ATTENDANCE at a place other than consulting rooms or hospital by a consultant physician or specialist practising in the specialty of pain medicine, where the patient was referred to him or her by a medical practitioner - INITIAL attendance in a single course of treatment",211.65,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,AF050,each attendance subsequent to the first in a single course of treatment,128.05,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,,each minor attendance subsequent to the first in a single course of treatment,92.25,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,BM930,INTRA-ARTERIAL INFUSION or retrograde intravenous perfusion of a sympatholytic agent,#N/A,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,BM960,"IMPLANTED INFUSION PUMP REFILLING OF RESERVOIR, with a therapeutic agent or agents, for infusion to the subarachnoid or epidural space, with or without reprogramming of a programmable pump, for the management of chronic intractable pain",111.6,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,BM970,"LONG-TERM IMPLANTED DEVICE for delivery of therapeutic agents, accessing of, not being a service associated with a service to which Item BM500 applies",59.8,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN045,"INJECTION UNDER IMAGE INTENSIFICATION with one or more of contrast media, local anaesthetic or corticosteroid into one or more zygo-apophyseal or costo-transverse joints or one or more primary posterior rami of spinal nerves",124.3,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN410,"INJECTION OF PRIMARY BRANCH OF TRIGEMINAL NERVE with alcohol, cortisone, phenol or similar substance",270.65,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN460,"PERCUTANEOUS NEUROTOMY of posterior divisions (or rami) of spinal nerves by any method, including any associated spinal, epidural or regional nerve block (payable once only in a 30-day period)",#N/A,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN470,PERCUTANEOUS NEUROTOMY for facet joint denervation by radiofrequency probe or cryoprobe using radiological imaging control,373.2,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN500,"Intrathecal or epidural SPINAL CATHETER, insertion or replacement of, and connection to a subcutaneous implanted infusion pump, for the management of chronic intractable pain",339.55,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN510,"INFUSION PUMP, subcutaneous implantation or replacement of, and connection of the pump to an intrathecal or epidural catheter, and filling of reservoir with a therapeutic agent or agents, with or without programming the pump, for the management of chronic intractable pain",412.25,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN520,"SUBCUTANEOUS RESERVOIR AND SPINAL CATHETER, insertion of, for the management of chronic intractable pain",539.65,,,Pain / Pain Medicine Consultations,,,,,
Pain / Pain Medicine Consultations,,LN530,"INFUSION PUMP, subcutaneous implantation of, AND intrathecal or epidural SPINAL CATHETER, insertion of, and connection of pump to catheter and filling of reservoir with a therapeutic agent or agents, with or without programming of the pump, for the management of chronic intractable pain",751.75,,,Pain / Pain Medicine Consultations,,,,,
